KTC_Rank,Pick,DraftedByLookup,Name,Position,Team,PositionRank,PositionTier,Tier,Value,,,,Pick,Owner,QB Rank,WR Rank,RB Rank,TE Rank,Starting Priority,Max Tier Remaining,"Optimal
Pick 1","Optimal
Pick 2","Optimal
Pick 3","Optimal
Pick 4",SELECTION,POSITION,TEAM,,,QB (Top 3),,,,WR (Top 5),,,,RB (Top 5),,,,TE (Top 5),,,,,"Thursday, September 19, 2024",,,,,,,,,,,,,,,,,,,MockYear,,,,Ineligible Players,,,,,,,,KTC_Rank,Pick,DraftedByLookup,Name,Position,Team,PositionRank,PositionTier,Tier,Value,DraftYear,,,,,Draft Results,,,,,,,,Alternate names,
11,,0,Jaxon Smith-Njigba,WR,SEA,WR18,WR3,Tier 3,5130,,,,1.11,Alex,4.4,2.2,9.3,11.1,"TE, RB, QB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,Shedeur Sanders,QB,COLO,,Tom,13166,1471,14637,7,19401,3709,23110,9,20198,0,20198,5,9100,0,9100,6,,1.05,Alex,Quinn Ewers,2.05,Jeremy,Colston Loveland,3.05,Tristan,Devin Neal,4.05,Jordan,???,5.05,Alex,???,,,,,,,,,,,,,,,,,11,Jordan (1.04),Jordan,Emeka Egbuka,WR,OSU,WR,0,3,8184,2025,,,,,1,10,11583,,,,,,,
12,,0,Rashee Rice,WR,KCC,WR23,WR4,Tier 4,4823,,,,1.12,Matt,3.4,6.2,4.3,9.1,"TE, WR, RB, QB",#N/A,#N/A,#N/A,#N/A,#N/A,Isaiah Bond,WR,TEX,,Jeremy,6306,10667,16973,6,17418,9999,27417,5,10687,8361,19048,7,11937,6202,18139,1,,,(via Jordan),"Quarterback, TEX",,(via Jordan),"Tight End, MICH",,(via Jordan),"Running Back, KU",,,#N/A,,(via Jordan),#N/A,,,,,,,,,,,,,,,,,12,X,X,Nico Iamaleava,QB,TENN,QB,0,3,8122,2026,,,,,1,11,11563,,,,,,,
13,,0,Dalton Kincaid,TE,BUF,TE4,TE4,Tier 4,4641,,,,1.13,Matt,3.4,6.2,4.3,9.1,"TE, WR, RB, QB",#N/A,#N/A,#N/A,#N/A,#N/A,Jalen Milroe,QB,ALA,,Tristan,7860,6342,14202,8,16680,6663,23343,8,15792,2870,18662,8,11484,0,11484,3,,1.06,Luc,Carson Beck,2.06,Jeremy,Dante Moore,3.06,Matt,Malachi Nelson,4.06,Matt,???,5.06,Tom,???,,,,,,,,,,,,,,,,,13,Jordan (1.09),Jordan,Evan Stewart,WR,ORE,WR,0,4,7895,2025,,,,,1,12,11559,,,,,,,
14,,0,Jayden Reed,WR,GBP,WR25,WR4,Tier 4,4557,,,,2.01,Matt,3.4,6.2,4.3,9.1,"TE, WR, RB, QB",#N/A,#N/A,#N/A,#N/A,#N/A,Trevor Etienne,RB,UGA,,,,,,,,,,,,,,,,,,,,,,"Quarterback, UGA",,(via Luc),"Quarterback, ORE",,(via Luc),"Quarterback, BSU",,(via Luc),#N/A,,(via Luc),#N/A,,,,,,,,,,,,,,,,,14,Matt (1.10),Matt,TreVeyon Henderson,RB,OSU,RB,0,4,7821,2025,,,,,2,13,11635,,,,,,,
15,,0,Bryce Young,QB,CAR,QB17,QB5,Tier 5,4148,,,,2.02,Alex,4.4,2.2,9.3,11.1,"TE, RB, QB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,Nicholas Singleton,RB,PSU,,,,,,,,,,,,,,,,,,,,1.07,James,Quinshon Judkins,2.07,James,Dillon Gabriel,3.07,James,Damien Martinez,4.07,James,???,5.07,James,???,,,,,,,,,,,,,,,,,15,Alex (1.11),Alex,Shedeur Sanders,QB,COLO,QB,0,5,7585,2025,,,,,2,14,11637,,,,,,,
16,,0,Tyjae Spears,RB,TEN,RB14,RB5,Tier 5,4068,,,,2.03,Joe,5.4,4.2,1.3,2.1,"QB, WR, TE, RB",#N/A,#N/A,#N/A,#N/A,#N/A,Omarion Hampton,RB,UNC,,,,,,,,,,,,,,,,,,,,,,"Running Back, OSU",,,"Quarterback, ORE",,,"Running Back, MIAM",,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,16,X,X,Malik Nabers,WR,NYG,WR,0,2,7480,,,,,,2,15,11619,,,,,,,
17,,0,Will Levis,QB,TEN,QB18,QB5,Tier 5,3968,,,,2.04,Tristan,8.4,8.2,8.3,3.1,"QB, RB, WR, TE",#N/A,#N/A,#N/A,#N/A,#N/A,Drew Allar,QB,PSU,,,,,,,,,,,,,,,,,,,,1.08,Jeremy,Ollie Gordon II,2.08,Lucas,Jaydn Ott,3.08,James,Kaytron Allen,4.08,Jeremy,???,5.08,Jeremy,???,,,,,,,,,,,,,,,,,17,Matt (1.13),Matt,Jalen Milroe,QB,ALA,QB,0,6,7382,2025,,,,,2,16,11589,,,,,,,
18,,0,Josh Downs,WR,IND,WR32,WR5,Tier 5,3868,,,,2.05,Jeremy,6.4,5.2,7.3,1.1,"RB, QB, WR, TE",#N/A,#N/A,#N/A,#N/A,#N/A,Colston Loveland,TE,MICH,,,,,,,,,,,,,,,,,,,,,,"Running Back, OKST",,(via Jeremy),"Running Back, CAL",,(via Jeremy),"Running Back, PSU",,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,18,Matt (1.12),Matt,Isaiah Bond,WR,TEX,WR,0,6,7273,2025,,,,,2,17,11638,,,,,,,
19,,0,Zach Charbonnet,RB,SEA,RB22,RB6,Tier 6,3590,,,,2.06,Jeremy,6.4,5.2,7.3,1.1,"RB, QB, WR, TE",#N/A,#N/A,#N/A,#N/A,#N/A,Dante Moore,QB,ORE,,,,,,,,,,,,,,,,,,,,1.09,Jordan,Evan Stewart,2.09,Lucas,Jalon Daniels,3.09,Tom,Nic Anderson,4.09,Alex,???,5.09,Tom,???,,,,,,,,,,,,,,,,,19,X,X,Zachariah Branch,WR,USC,WR,0,6,7113,2026,,,,,2,18,11626,,,,,,,
20,,0,Michael Mayer,TE,LVR,TE13,TE7,Tier 7,3366,,,,2.07,James,2.4,11.2,3.3,10.1,"WR, TE, RB, QB",#N/A,#N/A,#N/A,#N/A,#N/A,Dillon Gabriel,QB,ORE,,,,,,,,,,,,,,,,,,,,,(via Lucas),"Wide Receiver, ORE",,,"Quarterback, KU",,(via Lucas),"Wide Receiver, OKLA",,(via Lucas),#N/A,,(via Lucas),#N/A,,,,,,,,,,,,,,,,,20,Matt (2.01),Matt,Trevor Etienne,RB,UGA,RB,0,6,7094,2025,,,,,2,19,11586,,,,,,,
21,,0,Keaton Mitchell,RB,BAL,RB27,RB7,Tier 7,3203,,,,2.08,Lucas,1.4,1.2,2.3,7.1,"TE, RB, QB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,Jaydn Ott,RB,CAL,,,,,,,,,,,,,,,,,,,,1.10,Matt,TreVeyon Henderson,2.10,Lucas,Cameron Ward,3.10,Tom,Cade Klubnik,4.10,Alex,???,5.10,Tom,???,,,,,,,,,,,,,,,,,21,Alex (2.02),Alex,Nicholas Singleton,RB,PSU,RB,0,6,7015,2025,,,,,2,20,11625,,,,,,,
22,,0,Roschon Johnson,RB,CHI,RB29,RB7,Tier 7,3099,,,,2.09,Lucas,1.4,1.2,2.3,7.1,"TE, RB, QB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,Jalon Daniels,QB,KU,,,,,,,,,,,,,,,,,,,,,(via Tom),"Running Back, OSU",,(via Tom),"Quarterback, MIAM",,,"Quarterback, CLEM",,(via Tom),#N/A,,,#N/A,,,,,,,,,,,,,,,,,22,X,X,Jayden Daniels,QB,WAS,QB,0,2,6984,,,,,,2,21,11643,,,,,,,
23,,0,Luke Musgrave,TE,GBP,TE15,TE7,Tier 7,3027,,,,2.10,Lucas,1.4,1.2,2.3,7.1,"TE, RB, QB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,Cameron Ward,QB,MIAM,,,,,,,,,,,,,,,,,,,,1.11,Alex,Shedeur Sanders,2.11,Tristan,Antonio Williams,3.11,Tristan,Tory Horton,4.11,Tristan,???,5.11,Tristan,???,,,,,,,,,,,,,,,,,23,,X,Caleb Williams,QB,CHI,QB,0,2,6872,,,,,,2,22,11627,,,,,,,
24,,0,Kendre Miller,RB,NOS,RB31,RB7,Tier 7,2950,,,,2.11,Tristan,8.4,8.2,8.3,3.1,"QB, RB, WR, TE",#N/A,#N/A,#N/A,#N/A,#N/A,Antonio Williams,WR,CLEM,,,,,,,,,,,,,,,,,,,,,(via Tristan),"Quarterback, COLO",,,"Wide Receiver, CLEM",,,"Wide Receiver, CSU",,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,24,Joe (2.03),Joe,Omarion Hampton,RB,UNC,RB,0,6,6860,2025,,,,,2,23,11596,,,,,,,
25,,0,Dontayvion Wicks,WR,GBP,WR47,WR8,Tier 8,2824,,,,2.12,Jeremy,6.4,5.2,7.3,1.1,"RB, QB, WR, TE",#N/A,#N/A,#N/A,#N/A,#N/A,Conner Weigman,QB,TA\u,,,,,,,,,,,,,,,,,,,,1.12,Matt,Isaiah Bond,2.12,Jeremy,Conner Weigman,3.12,Tom,Elic Ayomanor,4.12,Matt,???,5.12,Matt,???,,,,,,,,,,,,,,,,,25,X,X,Jackson Arnold,QB,OKLA,QB,0,6,6754,2026,,,,,2,24,11630,,,,,,,
26,,0,Chase Brown,RB,CIN,RB35,RB8,Tier 8,2780,,,,2.13,Alex,4.4,2.2,9.3,11.1,"TE, RB, QB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,Barion Brown,WR,UK,,,,,,,,,,,,,,,,,,,,,(via Joe),"Wide Receiver, TEX",,(via Joe),"Quarterback, TA\u",,(via Joe),"Wide Receiver, STAN",,(via Joe),#N/A,,(via Joe),#N/A,,,,,,,,,,,,,,,,,26,,X,Brock Bowers,TE,LVR,TE,0,2,6421,,,,,,3,25,11600,,,,,,,
27,,0,Demario Douglas,WR,NEP,WR48,WR8,Tier 8,2765,,,,3.01,Matt,3.4,6.2,4.3,9.1,"TE, WR, RB, QB",#N/A,#N/A,#N/A,#N/A,#N/A,Matthew Golden,WR,TEX,,,,,,,,,,,,,,,,,,,,1.13,Matt,Jalen Milroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,X,X,Eugene Wilson III,WR,FLA,WR,0,7,6384,2026,,,,,3,26,11617,,,,,,,
28,,0,Quentin Johnston,WR,LAC,WR49,WR8,Tier 8,2727,,,,3.02,Alex,4.4,2.2,9.3,11.1,"TE, RB, QB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,Branson Robinson,RB,UGA,,,,,,,,,,,,,,,,,,,,,,"Quarterback, ALA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,Tristan (2.04),Tristan,Drew Allar,QB,PSU,QB,0,7,6342,2025,,,,,3,27,11621,,,,,,,
29,,0,Michael Wilson,WR,ARI,WR51,WR8,Tier 8,2714,,,,3.03,Lucas,1.4,1.2,2.3,7.1,"TE, RB, QB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,Jordan James,RB,ORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,X,X,Carnell Tate,WR,OSU,WR,0,7,6322,2026,,,,,3,28,11640,,,,,,,
30,,0,Marvin Mims,WR,DEN,WR52,WR8,Tier 8,2712,,,,3.04,Matt,3.4,6.2,4.3,9.1,"TE, WR, RB, QB",#N/A,#N/A,#N/A,#N/A,#N/A,Riley Leonard,QB,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Jeremy (2.05),Jeremy,Colston Loveland,TE,MICH,TE,0,7,6202,2025,,,,,3,29,11618,,,,,,,
31,,0,Jonathan Mingo,WR,CAR,WR56,WR9,Tier 9,2508,,,,3.05,Tristan,8.4,8.2,8.3,3.1,"QB, RB, WR, TE",#N/A,#N/A,#N/A,#N/A,#N/A,Devin Neal,RB,KU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,X,X,Justice Haynes,RB,ALA,RB,0,8,6029,2026,,,,,3,30,11629,,,,,,,
32,,0,Jalin Hyatt,WR,NYG,WR58,WR9,Tier 9,2487,,,,3.06,Matt,3.4,6.2,4.3,9.1,"TE, WR, RB, QB",#N/A,#N/A,#N/A,#N/A,#N/A,Malachi Nelson,QB,BSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,X,CJ Baxter,RB,TEX,RB,0,8,5950,2026,,,,,3,31,11575,,,,,,,
33,,0,Tucker Kraft,TE,GBP,TE19,TE9,Tier 9,2387,,,,3.07,James,2.4,11.2,3.3,10.1,"WR, TE, RB, QB",#N/A,#N/A,#N/A,#N/A,#N/A,Damien Martinez,RB,MIAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,X,X,Dylan Raiola,QB,NEB,QB,0,8,5931,2027,,,,,3,32,11605,,,,,,,
34,,0,Aidan O'Connell,QB,LVR,QB30,QB10,Tier 10,2142,,,,3.08,James,2.4,11.2,3.3,10.1,"WR, TE, RB, QB",#N/A,#N/A,#N/A,#N/A,#N/A,Kaytron Allen,RB,PSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,X,Brian Thomas Jr.,WR,JAC,WR,0,3,5774,,,,,,3,33,11584,,,,,,,
35,,0,Trey Palmer,WR,TBB,WR66,WR10,Tier 10,2048,,,,3.09,Tom,7.4,9.2,5.3,6.1,"WR, QB, TE, RB",#N/A,#N/A,#N/A,#N/A,#N/A,Nic Anderson,WR,OKLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,Jeremy (2.06),Jeremy,Dante Moore,QB,ORE,QB,0,9,5756,2025,,,,,3,34,11652,,,,,,,
36,,0,Tank Bigsby,RB,JAC,RB46,RB10,Tier 10,2022,,,,3.10,Tom,7.4,9.2,5.3,6.1,"WR, QB, TE, RB",#N/A,#N/A,#N/A,#N/A,#N/A,Cade Klubnik,QB,CLEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,James (2.07),James,Dillon Gabriel,QB,ORE,QB,0,9,5718,2025,,,,,3,35,11576,,,,,,,
37,,0,Jaleel McLaughlin,RB,DEN,RB50,RB10,Tier 10,1949,,,,3.11,Tristan,8.4,8.2,8.3,3.1,"QB, RB, WR, TE",#N/A,#N/A,#N/A,#N/A,#N/A,Tory Horton,WR,CSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Lucas (2.09),Lucas,Jalon Daniels,QB,KU,QB,0,10,5506,2025,,,,,3,36,11562,,,,,,,
38,,0,Chris Rodriguez,RB,WAS,RB52,RB10,Tier 10,1901,,,,3.12,Tom,7.4,9.2,5.3,6.1,"WR, QB, TE, RB",#N/A,#N/A,#N/A,#N/A,#N/A,Elic Ayomanor,WR,STAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,X,X,Johntay Cook II,WR,TEX,WR,0,10,5408,2026,,,,,4,37,11647,,,,,,,
39,,0,Cedric Tillman,WR,CLE,WR72,WR10,Tier 10,1852,,,,3.13,Shane,12.4,12.2,11.3,12.1,"QB, WR, TE, RB",#N/A,#N/A,#N/A,#N/A,#N/A,Squirrel White,WR,TENN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,Lucas (2.1),Lucas,Cameron Ward,QB,MIAM,QB,0,10,5261,2025,,,,,4,38,11650,,,,,,,
40,,0,AT Perry,WR,NOS,WR74,WR11,Tier 11,1766,,,,4.01,Matt,3.4,6.2,4.3,9.1,"TE, WR, RB, QB",#N/A,#N/A,#N/A,#N/A,#N/A,Oscar Delp,TE,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Lucas (2.08),Lucas,Jaydn Ott,RB,CAL,RB,0,10,5168,2025,,,,,4,39,11567,,,,,,,
41,,0,Israel Abanikanda,RB,NYJ,RB56,RB11,Tier 11,1726,,,,4.02,Alex,4.4,2.2,9.3,11.1,"TE, RB, QB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,Dylan Sampson,RB,TENN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,X,X,Xavier Worthy,WR,KCC,WR,0,4,5166,,,,,,4,40,11579,,,,,,,
42,,0,Parker Washington,WR,JAC,WR76,WR11,Tier 11,1717,,,,4.03,Shane,12.4,12.2,11.3,12.1,"QB, WR, TE, RB",#N/A,#N/A,#N/A,#N/A,#N/A,Devin Brown,QB,OSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,X,Ryan Williams,WR,ALA,WR,0,10,5085,2027,,,,,4,41,11577,,,,,,,
43,,0,Hendon Hooker,QB,DET,QB33,QB11,Tier 11,1687,,,,4.04,Ricky,9.4,10.2,12.3,4.1,"RB, WR, QB, TE",#N/A,#N/A,#N/A,#N/A,#N/A,???,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,X,X,Rome Odunze,WR,CHI,WR,0,4,5076,,,,,,4,42,11592,,,,,,,
44,,0,Tre Tucker,WR,LVR,WR81,WR12,Tier 12,1574,,,,4.05,Jordan,10.4,3.2,6.3,8.1,"QB, TE, RB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,???,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Jeremy (2.12),Jeremy,Conner Weigman,QB,TA\u,QB,0,10,4911,2025,,,,,4,43,11597,,,,,,,
45,,0,Luke Schoonmaker,TE,DAL,TE26,TE12,Tier 12,1520,,,,4.06,Matt,3.4,6.2,4.3,9.1,"TE, WR, RB, QB",#N/A,#N/A,#N/A,#N/A,#N/A,???,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,X,X,DJ Lagway,QB,FLA,QB,0,10,4869,2027,,,,,4,44,11610,,,,,,,
46,,0,Andrei Iosivas,WR,CIN,WR83,WR12,Tier 12,1496,,,,4.07,James,2.4,11.2,3.3,10.1,"WR, TE, RB, QB",#N/A,#N/A,#N/A,#N/A,#N/A,???,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,Tristan (2.11),Tristan,Antonio Williams,WR,CLEM,WR,0,10,4807,2025,,,,,4,45,11616,,,,,,,
47,,0,Dorian Thompson-Robinson,QB,CLE,QB36,QB12,Tier 12,1451,,,,4.08,Jeremy,6.4,5.2,7.3,1.1,"RB, QB, WR, TE",#N/A,#N/A,#N/A,#N/A,#N/A,???,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,X,X,Drake Maye,QB,NEP,QB,0,5,4647,,,,,,4,46,11651,,,,,,,
48,,0,Xavier Gipson,WR,NYJ,WR86,WR13,Tier 13,1389,,,,4.09,Alex,4.4,2.2,9.3,11.1,"TE, RB, QB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,???,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,Alex (2.13),Alex,Barion Brown,WR,UK,WR,0,10,4558,2025,,,,,4,47,11655,,,,,,,
49,,0,Xavier Hutchinson,WR,HOU,WR87,WR13,Tier 13,1358,,,,4.10,Alex,4.4,2.2,9.3,11.1,"TE, RB, QB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,???,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,X,X,J.J. McCarthy,QB,MIN,QB,0,5,4373,,,,,,4,48,11633,,,,,,,
50,,0,Deuce Vaughn,RB,DAL,RB64,RB13,Tier 13,1342,,,,4.11,Tristan,8.4,8.2,8.3,3.1,"QB, RB, WR, TE",#N/A,#N/A,#N/A,#N/A,#N/A,???,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,X,Jonathon Brooks,RB,CAR,RB,0,5,4355,,,,,,5,49,11570,,,,,,,
